,Faculty of MASSCOM and FSSR,Fakulti Sains Komputer & Matematik 1,Fakulti Sains Komputer & Matematik 2,Kolej Melati,Kolej Mawar,Block B Faculty Of Applied Sciences,Kolej Seroja,Block C Faculty Of Applied Sciences,Kolej Delima 1,Kolej Delima 3,Kolej Delima 2 (Pusat Kokurikulum),Faculty of Art and Design,Perpustakaan Tun Abdul Razak 1,Taska UiTM Shah Alam,Dewan Platinum Kolej Melati,Dewan Mawar Qaseh,Unit Bengkel Kenderaan UiTM Shah Alam,"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",Akademi Pengajian Bahasa,Pintu Seksyen 2,Dataran Cendekiawan,Kolej Anggerik,Makmal Fakulti Kejuruteraan Kimia,Kompleks Kolam Renang UiTM Shah Alam,Fakulti Undang-Undang,Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,Parking Canseleri,Canseleri Tuanku Syed Sirajuddin,Kompleks Kejuruteraan Elektrikal,Fakulti Kejuruteraan Kimia,Hotel UiTM Shah Alam,Kompleks Sukan UiTM Shah Alam,Kolej Perindu,Pusat Kokurikulum,Ibu Pejabat Polis Bantuan UiTM,Kolej Teratai 2,kolej Teratai,Kolej Teratai 3,Kolej Delima 2 (PB),UiTM Facilities Center,Faculty of Civil Engineering,Dewan Sri Budiman,Dewan Annexe,Menara Sultan Abdul Aziz Shah,Bahagian Pembangunan Organisasi,Jabatan Sain Ukur dan Geomatik,DKB,Block A Faculty of Applied Science,Block A Faculty Of Applied Sciences,DK Beta,DK Alfa,DK Delta,DK Gamma & DK Bestari,Block F Faculty Of Applied Sciences,irmi,Malaysian Institut Transport,MITRAN,National Design Centre,Budisiswa,Bangunan HEP,Faculty of Business,"Instititut Leadership, Quality",Ayub Arshad Graduate Business School,Gym Sport Recreation,Dewan Agung Tuanku Canselor,MTDC,Surau FSPU,AB1,AB3,AB2,Kafeteria Kolej Anggerik,Mamakteria Cafe,Pusat Kesihatan UiTM Shah Alam,Non Resident Office,Security Office,Register Office,Pos Polis Bantuan,Stor Sukan,Institut Pengajian Siswazah
"Instititut Leadership, Quality",1.299,1.144,1.372,1.306,1.455,0.202,0.669,0.234,1.387,0.991,0.686,1.14,0.224,1.086,1.004,1.288,1.466,1.479,1.688,1.165,1.102,1.581,1.503,1.229,0.193,0.481,1.524,1.423,1.462,1.529,0.974,1.107,0.324,0.991,1.036,1.06,1.159,1.036,1.122,0.769,1.397,0.465,0.52,0.878,0.777,0.52,0.878,0.282,0.359,0.282,0.282,0.196,0.216,0.341,0.461,0.52,0.52,1.221,0.241,0.321,0.058,0.0,0.184,0.599,0.636,1.247,1.486,1.587,1.587,1.587,1.457,1.719,1.6,0.969,1.015,0.888,1.746,0.461,0.381
Ayub Arshad Graduate Business School,1.483,1.328,1.556,1.491,1.639,0.387,0.853,0.418,1.572,1.175,0.87,1.325,0.408,1.27,1.189,1.472,1.65,1.663,1.872,1.349,1.287,1.765,1.687,1.413,0.377,0.665,1.708,1.607,1.647,1.713,1.159,1.291,0.508,1.175,1.22,1.245,1.343,1.22,1.306,0.953,1.582,0.649,0.705,1.062,0.962,0.705,1.062,0.466,0.544,0.466,0.466,0.38,0.401,0.525,0.646,0.705,0.705,1.405,0.426,0.505,0.242,0.184,0.0,0.783,0.821,1.432,1.67,1.771,1.771,1.771,1.641,1.903,1.784,1.154,1.199,1.073,1.93,0.646,0.565
Gym Sport Recreation,1.372,1.217,1.445,1.257,1.405,0.691,0.917,0.722,1.433,0.941,0.636,1.729,0.822,1.159,0.955,1.238,1.416,1.429,1.089,1.379,1.053,0.982,1.181,1.275,0.791,0.614,1.597,1.496,1.536,1.595,1.229,1.057,0.274,0.941,0.986,1.011,1.205,0.986,1.137,0.895,1.347,1.063,1.119,1.424,1.324,0.805,1.424,0.771,0.848,0.771,0.771,0.684,0.705,0.625,0.746,0.805,0.805,1.476,0.84,0.919,0.656,0.599,0.783,0.0,0.266,0.649,0.887,0.988,0.988,0.988,0.859,1.263,1.217,0.92,0.416,1.142,1.19,0.746,0.23
Dewan Agung Tuanku Canselor,1.41,1.255,1.483,1.295,1.443,0.729,0.955,0.76,1.471,0.979,0.674,1.767,0.86,1.197,0.993,1.276,1.454,1.467,1.355,1.417,1.091,1.248,1.447,1.313,0.829,0.652,1.635,1.534,1.574,1.633,1.267,1.095,0.312,0.979,1.024,1.048,1.242,1.024,1.175,0.932,1.385,1.101,1.157,1.462,1.362,0.843,1.462,0.809,0.886,0.809,0.809,0.722,0.743,0.663,0.784,0.843,0.843,1.514,0.878,0.957,0.694,0.636,0.821,0.266,0.0,0.915,1.153,1.254,1.254,1.254,1.124,1.529,1.483,0.957,0.682,1.18,1.456,0.784,0.495
MTDC,1.586,1.258,1.582,1.274,1.13,1.34,1.566,1.371,1.45,0.958,0.872,2.378,1.471,1.244,0.972,1.219,1.082,1.306,0.725,1.85,1.07,0.618,0.817,1.292,1.44,1.263,2.069,1.968,1.589,1.612,1.878,1.074,0.923,0.958,1.003,1.027,1.221,1.003,1.154,1.505,1.364,1.712,1.768,2.073,1.973,1.454,2.073,1.42,1.497,1.42,1.42,1.333,1.354,1.274,1.395,1.454,1.454,2.125,1.489,1.568,1.305,1.247,1.432,0.649,0.915,0.0,0.523,0.624,0.624,0.624,0.494,0.899,0.853,0.936,0.278,1.791,0.826,1.395,0.879
Surau FSPU,1.767,1.449,1.65,1.338,0.909,1.578,1.804,1.609,1.646,1.154,1.069,2.616,1.709,1.435,1.137,0.998,0.861,1.085,0.504,2.041,1.096,0.427,0.596,1.488,1.678,1.501,2.26,2.158,1.541,1.564,2.116,1.271,1.161,1.154,1.199,1.054,1.418,1.199,1.319,1.696,1.258,1.95,2.006,2.311,2.211,1.692,2.311,1.658,1.735,1.658,1.658,1.571,1.592,1.512,1.633,1.692,1.692,2.363,1.727,1.806,1.543,1.486,1.67,0.887,1.153,0.523,0.0,0.433,0.433,0.433,0.304,0.679,0.633,1.133,0.516,2.029,0.605,1.633,1.117
AB1,1.694,1.366,1.577,1.254,0.836,1.679,1.905,1.71,1.608,1.256,1.17,2.718,1.811,1.351,1.054,0.915,0.788,1.012,0.431,1.958,1.013,0.143,0.513,1.45,1.78,1.603,2.176,2.075,1.468,1.491,2.218,1.372,1.263,1.256,1.141,0.971,1.38,1.141,1.236,1.613,1.185,2.052,2.107,2.413,2.312,1.793,2.413,1.759,1.836,1.759,1.759,1.673,1.693,1.614,1.734,1.793,1.793,2.464,1.828,1.908,1.644,1.587,1.771,0.988,1.254,0.624,0.433,0.0,0.0,0.0,0.13,0.605,0.559,1.074,0.617,2.13,0.532,1.734,1.218
AB3,1.694,1.366,1.577,1.254,0.836,1.679,1.905,1.71,1.608,1.256,1.17,2.718,1.811,1.351,1.054,0.915,0.788,1.012,0.431,1.958,1.013,0.143,0.513,1.45,1.78,1.603,2.176,2.075,1.468,1.491,2.218,1.372,1.263,1.256,1.141,0.971,1.38,1.141,1.236,1.613,1.185,2.052,2.107,2.413,2.312,1.793,2.413,1.759,1.836,1.759,1.759,1.673,1.693,1.614,1.734,1.793,1.793,2.464,1.828,1.908,1.644,1.587,1.771,0.988,1.254,0.624,0.433,0.0,0.0,0.0,0.13,0.605,0.559,1.074,0.617,2.13,0.532,1.734,1.218
AB2,1.694,1.366,1.577,1.254,0.836,1.679,1.905,1.71,1.608,1.256,1.17,2.718,1.811,1.351,1.054,0.915,0.788,1.012,0.431,1.958,1.013,0.143,0.513,1.45,1.78,1.603,2.176,2.075,1.468,1.491,2.218,1.372,1.263,1.256,1.141,0.971,1.38,1.141,1.236,1.613,1.185,2.052,2.107,2.413,2.312,1.793,2.413,1.759,1.836,1.759,1.759,1.673,1.693,1.614,1.734,1.793,1.793,2.464,1.828,1.908,1.644,1.587,1.771,0.988,1.254,0.624,0.433,0.0,0.0,0.0,0.13,0.605,0.559,1.074,0.617,2.13,0.532,1.734,1.218
Kafeteria Kolej Anggerik,1.564,1.236,1.447,1.125,0.706,1.549,1.775,1.581,1.478,1.126,1.04,2.588,1.681,1.221,0.924,0.785,0.658,0.882,0.301,1.828,0.883,0.124,0.383,1.32,1.65,1.473,2.047,1.945,1.338,1.361,2.088,1.242,1.133,1.126,1.011,0.841,1.25,1.011,1.106,1.483,1.055,1.922,1.977,2.283,2.182,1.663,2.283,1.629,1.706,1.629,1.629,1.543,1.563,1.484,1.604,1.663,1.663,2.334,1.698,1.778,1.515,1.457,1.641,0.859,1.124,0.494,0.304,0.13,0.13,0.13,0.0,0.476,0.429,0.945,0.487,2.001,0.402,1.604,1.088
Mamakteria Cafe,1.231,1.068,1.114,0.828,0.384,1.782,1.894,1.814,1.311,1.024,1.032,2.706,1.942,1.054,0.756,0.617,0.277,0.549,0.252,1.66,0.662,0.599,0.215,1.152,1.911,1.579,1.879,1.778,1.005,1.028,2.206,1.095,1.394,1.024,0.843,0.673,1.082,0.843,0.938,1.315,0.722,2.183,2.239,2.401,2.301,1.781,2.401,1.862,1.94,1.862,1.862,1.776,1.796,1.602,1.723,1.781,1.781,2.453,1.96,2.039,1.776,1.719,1.903,1.263,1.529,0.899,0.679,0.605,0.605,0.605,0.476,0.0,0.119,0.777,0.892,2.119,0.232,1.723,1.493
Pusat Kesihatan UiTM Shah Alam,1.194,0.949,1.077,0.783,0.33,1.664,1.775,1.695,1.192,0.905,0.914,2.587,1.823,0.935,0.637,0.499,0.293,0.517,0.262,1.541,0.597,0.553,0.097,1.034,1.792,1.46,1.76,1.659,0.969,0.991,2.087,0.976,1.276,0.905,0.725,0.554,0.963,0.725,0.819,1.196,0.685,2.065,2.12,2.283,2.182,1.663,2.283,1.744,1.821,1.744,1.744,1.657,1.678,1.483,1.604,1.663,1.663,2.334,1.841,1.92,1.657,1.6,1.784,1.217,1.483,0.853,0.633,0.559,0.559,0.559,0.429,0.119,0.0,0.658,0.846,2.0,0.251,1.604,1.447
Non Resident Office,0.675,0.347,0.671,0.337,0.513,1.033,1.144,1.065,0.561,0.274,0.283,1.957,1.193,0.333,0.035,0.346,0.525,0.537,0.797,0.939,0.148,1.068,0.561,0.403,1.162,0.842,1.158,1.057,0.653,0.675,1.457,0.345,0.645,0.274,0.067,0.118,0.333,0.067,0.217,0.594,0.428,1.434,1.49,1.652,1.551,1.032,1.652,1.113,1.19,1.113,1.113,1.027,1.047,0.853,0.973,1.032,1.032,1.703,1.211,1.29,1.027,0.969,1.154,0.92,0.957,0.936,1.133,1.074,1.074,1.074,0.945,0.777,0.658,0.0,0.725,1.37,0.804,0.973,1.144
Security Office,1.375,1.047,1.371,1.063,1.122,1.107,1.333,1.138,1.239,0.747,0.661,2.146,1.238,1.033,0.761,1.044,1.075,1.235,0.718,1.639,0.858,0.611,0.81,1.081,1.207,1.031,1.858,1.757,1.378,1.401,1.646,0.863,0.691,0.747,0.792,0.816,1.01,0.792,0.943,1.294,1.153,1.48,1.535,1.841,1.74,1.221,1.841,1.187,1.264,1.187,1.187,1.101,1.121,1.042,1.162,1.221,1.221,1.892,1.256,1.335,1.072,1.015,1.199,0.416,0.682,0.278,0.516,0.617,0.617,0.617,0.487,0.892,0.846,0.725,0.0,1.558,0.819,1.162,0.646
Register Office,1.495,1.34,1.568,1.707,1.855,0.825,0.38,0.856,1.584,1.391,1.086,1.054,0.741,1.282,1.405,1.688,1.867,1.879,2.139,0.844,1.503,2.124,1.903,1.425,1.042,0.677,1.304,1.202,1.659,1.725,0.616,1.507,0.868,1.391,1.436,1.461,1.355,1.436,1.318,0.965,1.798,0.64,0.696,0.749,0.648,0.59,0.749,0.905,0.982,0.905,0.905,0.818,0.839,0.614,0.427,0.59,0.59,0.863,0.758,1.0,0.907,0.888,1.073,1.142,1.18,1.791,2.029,2.13,2.13,2.13,2.001,2.119,2.0,1.37,1.558,0.0,2.146,0.427,1.159
Pos Polis Bantuan,1.386,1.095,1.268,0.98,0.527,1.81,1.921,1.841,1.338,1.051,1.059,2.733,1.969,1.081,0.783,0.644,0.48,0.703,0.101,1.687,0.742,0.526,0.243,1.18,1.938,1.606,1.906,1.805,1.16,1.183,2.233,1.122,1.421,1.051,0.871,0.7,1.109,0.871,0.965,1.342,0.877,2.211,2.266,2.428,2.328,1.809,2.428,1.889,1.967,1.889,1.889,1.803,1.824,1.629,1.75,1.809,1.809,2.48,1.987,2.066,1.803,1.746,1.93,1.19,1.456,0.826,0.605,0.532,0.532,0.532,0.402,0.232,0.251,0.804,0.819,2.146,0.0,1.75,1.42
Stor Sukan,1.176,1.02,1.248,1.311,1.459,0.398,0.207,0.429,1.264,0.995,0.69,1.014,0.685,0.962,1.009,1.292,1.47,1.483,1.743,0.704,1.107,1.728,1.507,1.106,0.654,0.357,1.164,1.062,1.339,1.406,0.513,1.111,0.471,0.995,1.04,1.064,1.035,1.04,0.999,0.645,1.401,0.601,0.657,0.709,0.609,0.164,0.709,0.478,0.555,0.478,0.478,0.391,0.412,0.187,0.0,0.164,0.164,0.759,0.703,0.782,0.519,0.461,0.646,0.746,0.784,1.395,1.633,1.734,1.734,1.734,1.604,1.723,1.604,0.973,1.162,0.427,1.75,0.0,0.733
Institut Pengajian Siswazah,1.57,1.415,1.643,1.481,1.629,0.473,0.94,0.505,1.657,1.165,0.86,1.521,0.605,1.357,1.179,1.462,1.641,1.653,1.319,1.436,1.277,1.212,1.411,1.499,0.574,0.752,1.795,1.694,1.734,1.8,1.245,1.281,0.498,1.165,1.21,1.235,1.429,1.21,1.361,1.04,1.572,0.846,0.901,1.259,1.158,0.791,1.259,0.553,0.63,0.553,0.553,0.467,0.487,0.612,0.733,0.791,0.791,1.492,0.622,0.702,0.439,0.381,0.565,0.23,0.495,0.879,1.117,1.218,1.218,1.218,1.088,1.493,1.447,1.144,0.646,1.159,1.42,0.733,0.0
